1000
Atoms. Timestep: 0
A 6.00338 17.9966 2.00494
B 6.00364 18.0003 3.99872
B 5.99508 18.0044 5.99452
A 5.99526 18.0052 8.0037
A 5.9963 18.0019 9.99376
A 5.99578 18.0023 11.9992
A 6.00566 17.9995 14.0057
A 5.99662 17.9981 15.999
A 5.99838 17.9954 18.0064
B 8.00154 0.00288173 19.9966
B 8.0039 0.00465821 2.00572
B 7.99764 19.999 4.00024
A 8.00566 19.9971 6.0039
B 8.00598 19.9992 8.00522
B 7.99454 0.00546029 10.0062
B 7.99686 19.9997 11.999
B 7.99586 0.00234014 13.994
B 7.9961 0.00103997 16.0026
A 8.00514 0.00286004 17.9966
B 8.0005 2.00182 0.00309828
A 8.0026 2.00078 2.00604
A 8.0015 2.00318 4.00306
B 7.99402 2.00026 6.00314
B 7.99454 2.00076 7.9935
B 7.99764 1.9948 10.0021
A 7.9937 2.00058 11.9943
B 8.0018 1.99948 14.0057
B 8.00416 2.0018 16.001
B 8.00414 2.00468 18.0016
B 7.9961 4.0052 0.000801591
B 7.99454 3.99794 2.00596
A 7.99948 4.00384 4.00344
A 7.99766 3.99772 6.00052
A 8.00364 3.9985 8.00592
B 7.99508 3.994 9.9961
A 7.9987 4.00468 12.0044
B 7.99922 4.0052 13.9964
A 8.00514 4.00604 16.0011
A 8.00572 4.0037 17.9966
B 8.0026 6.00492 19.999
B 8.00442 6.00544 2.0039
B 8.00078 5.99948 4.00544
A 7.99798 6.00598 6.00656
A 7.99558 5.99734 8
A 8.00552 6.00578 9.99662
A 8.00078 6.00098 12.002
B 8.00574 5.9961 14.0013
A 7.9974 5.99558 15.999
A 8.0052 5.9948 17.9966
A 7.99604 8.00442 19.9935
A 7.99454 8.00338 2.00338
A 7.99604 7.99402 3.99818
A 8.00202 7.99526 6.00072
B 7.99452 7.99896 8.00572
A 8.00384 8.00624 10.0044
B 7.99478 7.9982 11.9935
B 7.9943 8.00622 14.001
A 8.00156 7.99552 16.0021
A 7.99974 8.00208 17.9958
B 8.00054 10.0031 2.17965e-05
B 8.00262 9.99742 1.99766
B 7.99374 10.0055 3.99662
B 7.99768 9.99792 6.00024
A 7.99838 10.0049 7.99746
A 7.9989 9.99994 10.0049
B 7.99584 10.0057 12.0057
A 8.0011 10.0053 14.0042
B 7.99766 10.0008 15.9997
A 7.99526 10.0015 17.9974
B 7.99402 11.9982 19.9997
B 7.9982 11.9982 2.00156
B 8.00078 11.9958 4.00154
A 7.9987 12.0021 6.0013
B 7.99504 11.9966 7.99404
B 8.00182 11.9953 9.99922
B 7.99402 12 11.9995
A 8.00338 11.9997 13.9993
A 7.99584 12.0047 16.0049
B 7.99688 12 17.9987
B 7.9969 14.001 19.994
A 7.99434 14.0013 1.9972
A 8.00598 14.005 4.00156
A 8.00494 13.9992 5.99428
A 8.00416 14.004 7.99532
A 8.00416 13.9964 9.9961
A 8.0039 13.9951 12.0013
A 7.99948 14.001 14.0036
A 8.0013 14.0008 15.9997
B 8.00128 14.0028 18.0039
A 7.99838 15.9949 0.00410061
B 7.99558 15.9982 2.0013
A 8.00474 16.0055 4.00188
A 8.00286 15.9942 6.00156
A 8.00026 15.9947 8.00234
A 8.00546 16.0038 10.0064
B 8.0031 16.0018 12.0062
A 8.00208 16.0049 13.9982
A 7.9987 16.0018 16.0044
A 7.9974 15.9958 17.9956
A 8.00656 17.9966 19.9995
B 8.00028 18.0042 2.00494
A 8.00468 18.0025 3.99584
B 7.99712 18.0036 5.9982
B 7.99948 17.9938 7.9987
B 8.00078 18.0034 9.99922
B 7.99818 18.0057 11.9992
B 7.9982 17.9979 13.9956
B 8.00262 18.0003 16.0065
B 7.99506 17.9938 18.0005
A 9.99928 0.000520617 0.00597989
B 10.0057 19.9974 1.99636
A 10.0062 0.00546003 4.00416
B 9.9987 0.00519998 5.99846
B 9.99818 19.9953 8.0005
A 9.99506 19.9987 9.99356
A 10.0053 0.00409999 11.9973
B 9.99844 19.9935 14.0013
B 9.99688 19.9974 16.0016
B 9.9969 19.9935 18.0028
A 9.99772 1.99682 0.00124018
B 10.0013 2.00596 1.99482
B 9.9948 2 3.9953
A 10.0045 1.99896 5.99922
B 9.99948 1.99816 7.99922
A 9.9998 1.99422 9.9935
B 9.99742 2.0013 11.9977
A 9.99954 2.00338 14.005
A 9.9974 2.00338 16.0047
A 10.0055 1.9972 17.9997
B 10.0057 4.00392 19.9971
A 10.0024 3.99454 1.9959
A 9.99532 4.00598 3.99968
B 10.0016 3.99428 6.00182
A 10.0034 3.99876 7.99662
B 9.99974 4.00286 10
A 10.0018 4.0063 11.9987
B 9.9948 3.99664 13.9959
B 9.99664 4.00104 16
A 10.0055 3.99558 18.0031
B 9.9948 6.00494 19.9995
B 10.0021 6.00624 1.99662
B 9.99792 6.00574 4.00466
A 9.99474 5.99896 5.99564
A 9.99714 6.00182 8.00104
A 9.9976 6.00364 9.99818
A 10.0055 5.99922 12.0059
B 10.0002 5.99948 14.0052
A 10.0059 5.99564 15.9993
A 9.99454 6.00436 17.9981
B 10.0044 8.00416 20
A 10 7.9935 1.99792
B 10.0008 8.00492 3.99612
B 10.0013 7.99352 5.994
A 10.0034 7.99942 7.99584
B 9.9935 8.00418 9.99818
A 10.0027 8.00026 11.9995
B 10.0054 8.0057 14.0047
A 10.0046 8.00494 16.0018
B 10.0003 8.00366 18.0063
B 10.001 10.006 0.00312013
B 10.0008 10.0037 1.9953
A 10.0042 10.0029 3.99662
B 10.006 10.0044 6.00288
B 9.99794 10.0003 8.00468
B 9.99768 10.0023 9.99556
A 10.0042 9.99838 11.9977
A 9.99688 9.99824 14.0029
A 10 10.0023 16.0028
B 10.0003 10.001 18.0052
B 9.99948 12.0049 0.00184187
B 9.99532 11.9982 1.9961
B 9.99896 11.9992 3.9979
A 10.002 11.9998 6.0011
A 9.99584 12.0023 8.00468
A 10.0034 12.0018 10.002
B 9.99868 11.9987 11.9974
A 10.0062 12.0046 14.0047
B 10.0047 12.0016 15.9966
A 9.99428 12.0011 18.0062
B 10.0008 13.9945 0.00545996
A 10.0042 14.0045 2
B 10.0044 13.9976 4.00494
A 9.99896 14.0002 5.9935
B 9.9961 13.9956 7.99612
B 10.0003 14.0057 9.99556
A 10.0057 13.9943 12.0039
B 9.9943 13.9969 13.9998
B 9.99508 13.9948 15.9945
A 10.0034 13.995 18.0029
B 10.0018 15.9992 0.0059585
A 10.0014 16.0015 2.0063
A 10.006 16.0018 3.99474
B 10.0013 15.9969 6.00418
B 9.99794 16.0015 7.99974
B 10.0052 15.9943 9.99946
A 9.99636 16.0013 11.9961
B 10.0005 16.0026 13.9969
A 9.99896 16.0003 16.0013
B 10.0042 15.9948 17.9961
A 10.0007 17.9954 0.00540014
B 9.9979 18.0003 2.0034
B 10.0018 17.994 4.00232
A 10.005 17.9956 6.00552
A 10.001 17.999 7.9961
A 9.99714 18.0001 10.0005
A 9.99558 18.0047 11.9984
B 10.0057 18.0036 14.0047
B 10.0044 17.9995 16.0039
A 9.99428 18.0029 18.004
A 11.9961 0.00109969 19.9985
A 12.0029 19.9953 2.00358
B 11.9964 0.00647844 3.99974
A 12.0013 19.9951 5.99714
B 12 0.0065001 7.99534
B 11.9971 0.00439838 9.99374
A 12.0046 0.00286003 12.0023
B 11.9976 0.00259998 13.9946
B 11.9945 0.000801605 15.9997
B 12.0008 19.9945 18.0028
A 11.9984 2.00306 19.994
A 12.0034 1.9987 1.99896
A 12.0053 1.9998 4.00598
A 11.9953 2.00618 6.00124
B 11.994 1.99972 8.00208
A 12.0013 1.9961 10.0039
B 12.0018 1.99508 12.0042
A 12.0044 1.99558 13.9948
B 11.999 2.00442 15.9977
A 11.9997 2.00006 18.0014
B 11.9961 3.99794 0.00467995
A 11.9958 3.99662 1.99564
A 12.0031 4.0015 4.0028
B 11.9945 3.99768 5.99948
A 11.9982 4.00344 7.99662
B 11.9979 4.00496 9.99716
B 11.9938 4.00076 12.0029
B 12.0039 4.00624 14.0026
B 11.9963 4.00052 15.9982
A 12.0054 4.0065 17.999
B 11.9974 5.9948 19.994
A 12.0042 5.99454 1.99584
B 12.0031 6.0008 3.99664
B 11.9961 6.00364 6.00596
A 11.9974 5.99474 7.9961
B 11.9948 5.99452 9.99974
A 11.9974 5.99954 11.9946
A 11.9949 5.99928 13.9981
B 11.9961 5.9948 15.9984
A 11.9964 5.9963 18.0036
B 12.006 8.00128 19.9937
A 12.001 7.99558 1.99844
B 11.994 7.99374 3.99534
B 12.006 8.00154 5.9948
B 11.9992 8.00496 8.00258
A 12.0039 8.00286 9.99538
A 12.0031 8.00436 12.0023
A 12.0034 8.00624 13.9979
B 12.0024 8.00286 15.9943
B 11.9971 7.99766 18.0003
A 12.0018 9.99818 0.00390059
A 12.0011 10.0002 2.00234
A 11.9945 9.99766 4.00494
A 11.9951 9.99766 5.99656
B 11.9971 10.0029 8.00444
B 11.994 9.99454 9.99454
B 11.9969 10.0021 11.9987
A 11.9948 9.99662 13.9953
B 12.0034 9.9979 16.0036
A 11.9954 9.99974 17.9969
B 11.9982 12.0026 19.9995
B 11.9974 12 1.99428
B 12.001 11.9977 4.0039
B 12.0013 12.0018 5.9974
B 11.9971 11.9984 8.0005
A 12.0038 12.0049 9.99486
A 11.9936 11.9943 12.0005
A 12.0044 12.0057 13.9958
A 12.0005 11.9953 15.9976
B 12.006 12.0016 18.0037
B 12.0003 14.0049 0.00649993
A 11.9976 13.9998 2.00364
B 12.006 14.0034 4.00468
A 12.002 14 6.00474
A 12.0016 13.9938 8.00202
B 11.994 13.9958 9.99846
B 11.9938 13.999 12.0031
B 12.0062 14 14.0016
B 12.0055 14.0021 15.9989
A 12.0041 14.0034 17.9935
B 11.9961 15.9951 19.9963
A 11.9989 16.0042 2.00084
A 12.006 15.9979 4.0015
B 12.0034 15.9992 6.00652
B 12.0023 16.0016 8.00466
A 12.0045 15.9951 10.0062
B 11.9966 16.0003 12.0042
B 12.0062 15.9943 14.0034
A 11.9994 16.0016 16
B 12.0008 15.9948 17.9956
B 11.9945 17.9937 19.9966
A 12.0008 17.9953 2.00416
B 11.9989 18.0005 4.0013
A 11.9953 17.9993 6.00494
B 12.006 18.0065 7.9969
B 11.9995 18.0016 10.0008
B 11.9974 17.9997 11.994
A 12.0013 17.9958 14.0001
A 11.9945 17.9934 15.994
B 11.9958 17.9977 18.0047
A 14.0039 19.9981 19.9954
A 13.9987 19.9956 1.99428
A 13.9961 19.9945 3.9937
B 14.0065 0.00468022 6.00652
B 13.9989 19.9992 7.99946
A 13.998 0.000839694 10.0018
B 14.0026 0.00650001 11.9935
A 14.006 19.9956 14.0053
A 14.0003 0.00155988 15.9979
B 14.0049 0.00210176 17.9958
B 14.001 1.99532 19.994
A 14.001 2.00026 2.00032
A 13.9942 2.00436 4.00566
B 14.0029 2.00234 6.00002
B 13.9961 1.9953 7.99426
A 14.0031 2.0039 9.99824
A 13.9938 2.00078 11.9945
B 13.9961 1.99456 13.999
B 14.006 2 15.994
B 14.0029 1.99844 18.001
A 14.0036 3.99454 19.9964
A 14.0023 3.99792 1.99994
B 13.9979 3.99846 3.99976
B 14.0031 3.99792 5.99998
A 13.9976 3.99564 8.00162
A 13.9995 4.00332 10.0051
B 14 4.00156 11.9948
B 14.0055 3.99426 14.0036
A 14.0029 4.00084 16.0055
B 14.0023 3.99556 18.0013
B 14.0013 5.99454 19.9956
A 13.9986 6.00286 2.0013
B 14.0039 6.00518 4.0008
B 14.0047 6.0018 5.99452
A 14.0044 5.99636 7.99428
B 13.999 5.9995 9.99428
A 14.0031 5.99382 12.0019
A 14.0033 5.99792 14.0031
A 14.0042 6.0028 16.0034
A 14.0002 6.0026 17.9934
A 13.9979 8.00286 19.9941
A 13.9961 7.99688 2.00312
A 13.9961 8.00318 4.00624
A 13.9993 7.99564 6
A 13.9997 7.99948 8.00176
B 14.0003 7.99584 10.0026
A 13.996 8.00046 11.9943
B 14.0021 7.9948 13.9987
B 14.0018 8.00106 15.9943
B 13.9966 8.0039 18.006
B 13.9948 9.99378 19.9974
A 13.9981 10.0002 2.00604
A 13.9971 10.0052 3.99376
A 14.0031 9.9963 6.0026
A 13.9967 9.99662 7.9963
B 14.0029 9.99376 10.006
B 13.9963 9.99532 12.0034
A 13.9992 10.005 14.0013
B 14 10.001 16.0031
A 13.9943 10.0001 17.9966
B 14.0044 12.0065 0.00314181
B 13.9989 12.0016 1.99842
A 13.9949 11.9989 4.00208
B 14.0062 12.0021 5.9935
A 13.9974 12.0057 8.00312
B 13.9972 11.9961 9.99558
A 13.9964 12.0013 11.9954
A 14.0057 12.002 14.0049
B 14.0013 12.0052 16.0021
A 13.9941 12.0005 17.994
B 14.0044 14.006 19.999
B 14.0026 14.0016 2.00234
B 13.9987 13.9956 3.99844
B 14 14.0029 5.99584
B 13.9982 13.9998 7.99478
A 13.9992 14.0008 9.99792
B 13.9969 13.9982 12.0055
B 14.0002 13.9974 14.0026
B 13.9964 14.0052 15.9935
B 13.9992 13.994 18
A 14.006 15.9988 0.00254015
B 13.9977 16.0015 1.99584
A 13.9937 16.0027 4.0013
B 14.0018 15.9964 6.00496
B 13.9984 16.0008 8.00232
A 14.0003 16.0059 10.0034
B 13.9953 15.9979 11.9995
B 14.0031 15.9953 14.0047
B 14.0021 15.9966 16.0057
A 13.9961 16.005 18.0019
A 14.006 17.9982 19.9992
A 14.0015 18.0024 1.99584
A 14.0021 17.9943 3.99968
B 14.0018 17.9977 5.99456
B 13.9982 18.0018 7.99896
B 14 17.9948 9.99634
A 14.0006 18.0026 11.9961
B 13.9938 17.9997 14.0003
B 13.9964 18.0047 16.0018
A 13.999 18.0025 18.0047
A 16.0029 19.9967 19.999
A 15.9976 0.00318006 1.9976
B 16.0044 19.9945 4.00182
A 16.0053 0.00462043 6.0063
A 15.9969 19.9997 7.99662
A 15.9942 19.9995 10.0049
A 16.0062 19.9938 11.9973
B 16.0008 19.9977 14.006
A 16.0036 19.9964 15.9948
B 15.994 19.9961 17.9977
A 16.006 1.99396 19.9949
A 15.9969 1.99896 2.00046
B 16.0037 1.99454 4.00444
B 16.0021 2.00572 6.00624
B 15.994 2.00184 8.0005
A 15.9953 2.0052 9.99798
A 15.9958 2.00098 11.9968
B 16.0049 2.00104 13.9998
B 15.9969 2.00156 15.9974
B 16.0005 2.00128 18.0021
B 16.0065 3.99482 0.00545998
A 16.0028 4.00462 1.99922
B 15.9979 3.99376 3.9987
A 15.9953 4.00078 5.9987
B 16.0057 3.99504 8.00338
A 15.9937 3.99682 9.99974
B 15.9966 3.9956 11.9948
B 15.9966 4.00494 14.001
A 15.9966 3.99356 16.0019
A 15.998 4.00026 18.0028
B 16.0005 5.99896 19.9992
B 16.0052 6.00286 2.00312
B 15.9992 6.00052 4.00624
B 15.9958 6.00234 5.99764
A 16.0008 5.99636 8.00364
B 15.994 5.9943 10.0034
B 16.001 6.00416 11.9943
B 16.0036 6.0039 13.9971
A 16.0031 6.00312 16.0013
B 15.9966 5.9943 18.0044
B 16.0052 7.99896 19.9979
A 16.0021 8.00156 2.00442
B 16.0031 8.0057 3.99714
A 15.996 7.99512 6.0026
B 15.9992 7.99844 7.99586
B 16.0003 8.00624 10.0031
B 16.0044 7.99582 11.9956
B 15.9937 7.9961 13.9958
A 16.0021 8.00494 16.0008
B 15.994 7.9992 17.9935
B 16.0021 9.99998 0.00210192
B 16.0036 10.0036 1.99374
A 16.0065 10.0011 4.00448
A 15.9964 10.0036 6.00182
A 15.9971 10.0026 8.00046
B 16.0008 9.99896 9.9974
A 16.0024 10.0027 12.0039
B 16.0003 9.99374 13.9964
A 16.0008 10.0055 15.9943
A 15.995 9.9946 18.0023
A 15.9964 11.9941 19.9945
A 15.9948 11.9943 1.99688
A 16.0007 11.9977 4.00494
A 16.005 12.0016 5.99734
B 15.9951 11.9961 8.00418
B 15.9984 11.9958 10.0047
A 16.0028 12.002 11.9959
A 15.994 12.004 13.9943
A 16.0013 12.0005 15.9938
A 16.006 11.9969 18.0057
A 16.0032 14.0042 19.9956
A 16.0016 14.0038 1.99922
A 15.9938 13.9971 4.00598
A 16 14.0036 6.00592
B 16.0065 14.0005 7.99586
B 16.0016 13.9969 10.0036
B 15.9958 13.9956 11.9974
A 15.9938 14.0049 14.0029
B 16.0002 14.0003 16.0039
A 16.0029 13.9971 17.9946
A 16.0049 16.0062 0.00571987
B 15.9971 16.006 1.99976
B 16.0049 15.9985 4.00154
A 15.9943 15.9951 5.99746
A 16.0039 15.9992 8.00624
A 15.9958 16.0044 9.99688
A 16.0016 16.0058 12.0036
A 15.9948 16.0023 14.0028
B 15.9948 15.9971 16.0039
B 15.994 15.9945 18.0036
B 16.0013 17.9974 19.9969
B 15.9943 17.9997 1.99662
B 16.0052 17.9958 3.99816
A 15.9956 17.9987 5.99792
B 16.0008 18.0044 8.00496
B 15.9945 17.9987 9.99894
A 15.999 18.0031 11.9972
A 15.9992 18.0005 14.0023
B 16.0028 17.9958 16.0036
A 16.0018 17.994 18.006
A 18.001 19.9981 19.9948
B 18.0005 0.00103998 1.99404
B 17.9945 0.00262161 3.9966
A 18.0016 0.00285995 6.0063
A 17.9989 0.0052001 8.00618
B 18.0003 19.9974 10.0029
B 18.0044 19.9979 11.9953
A 18.0027 19.9984 14.0016
B 17.9959 19.9964 16.0005
B 17.9935 0.00470176 17.9997
B 17.994 1.99974 19.9979
A 17.9994 2.00494 1.99454
B 17.9982 2.00518 4.00548
B 17.9948 2.00366 6.00544
A 17.9969 2.00312 8.00026
B 18.0042 1.99506 9.99818
A 18.0034 1.99486 11.9974
B 18.0036 1.99638 14.0018
A 18.006 2.00572 16.0003
B 18.0055 1.99998 17.9979
A 18.0049 4.00188 19.9981
B 18.0047 3.9961 2.00182
A 18.0036 3.99428 3.99454
B 17.9974 4.00284 6
A 17.994 3.99896 8.00598
B 17.9987 4.00336 9.99974
A 18.006 4.0013 12.0055
B 17.9987 3.99582 13.9979
B 18.0018 3.99404 15.9937
A 17.9994 4.00344 17.9941
A 18.0027 6.0013 19.9974
A 18.0013 6.00266 2.00462
B 17.9964 5.99376 3.99662
A 18.0016 6.00156 6.0063
A 18.0049 5.9961 7.99844
A 18.0047 6.00598 9.99896
A 18.0026 5.99558 11.9984
A 17.9948 6.00032 13.9968
B 17.9995 6.00362 16.0034
A 18.0006 5.99896 18.0042
A 17.9943 7.9937 19.9997
A 17.9973 7.99766 1.99454
A 18.004 8.00292 4.00306
B 17.9979 7.99376 5.99532
A 18.0016 7.99448 8.00364
B 17.9964 8.0008 9.99402
A 17.9977 8.0052 11.9938
A 18.0013 8.00182 14.0018
A 17.9958 8.00526 16.0042
A 18.0052 7.99734 18.0034
B 17.9976 10.0008 0.00517842
A 18.0001 10.001 1.99382
A 17.9969 9.9963 3.99376
A 18.0031 10.005 5.99968
B 17.9995 10 7.9982
B 17.9976 10.0026 9.99816
A 17.9979 10.0046 12.0019
A 18.0049 10.0007 13.9974
A 18.0064 9.9937 15.9999
B 18.0062 9.99714 18
A 17.9999 12.0063 0.00332033
B 18.0031 12.0062 1.99898
B 18.0008 12.0013 4.0057
A 18.0008 12.0049 5.99896
B 17.9956 11.9974 8.00106
B 18.0016 11.9945 10.0057
B 18.0055 11.9998 12.0008
B 17.994 11.9992 14.0047
B 18.005 12.0062 15.9953
A 17.9961 11.999 17.9988
A 18.0003 13.9973 0.00390036
A 17.9966 13.9954 1.99584
A 17.9989 13.9969 3.99448
B 17.9992 14.0011 5.99924
B 17.9997 14.0026 8.00182
B 17.9943 14.0005 10.0008
B 17.9989 13.9989 12.0044
A 18.0047 14.0029 13.9998
A 18 14.0047 15.999
A 17.999 14.0008 18.0055
B 17.9982 16.0044 19.9956
A 17.999 16.0036 2.00318
A 18.0042 16.0021 4.00436
B 17.9992 16.0065 5.99586
B 17.9956 16.0054 7.99478
A 17.9958 15.9977 9.99642
A 18.0042 16.0029 12.0002
B 17.9974 16.0055 14.0021
B 17.9935 16.0013 15.9943
A 18.0024 15.9948 18.0003
A 18.0055 17.9956 19.9958
A 18.004 18.0031 1.99766
A 18.0047 18.0023 4.00384
B 17.9985 18.0065 5.9974
A 18.0034 18.0047 7.99584
B 17.9984 17.9987 10.0042
A 18.0049 17.9999 12.0029
B 18.0031 17.9976 13.9961
A 18.0039 18 15.998
A 17.994 17.9989 17.9961
1000
Atoms. Timestep: 27
A 19.9978 19.9973 19.9943
B 0.00240664 19.9962 1.99703
A 0.00681495 0.000874387 4.00547
A 0.00486021 19.9947 5.99831
B 0.00081001 19.9981 8.0027
A 0.00539997 0.00134996 10.0017
A 0.000334764 19.9966 12.0027
A 0.00189033 19.994 14.0021
B 0.00351012 0.00351015 15.9965
B 19.9994 19.9981 18.0005
A 0.00492528 1.99346 0.000539917
B 0.00459002 1.99647 2.00486
A 19.9935 2.00237 4.00087
A 0.00161995 1.99427 6.00264
B 20 1.99514 7.99597
B 19.9981 1.99624 9.99836
A 19.9992 2.00237 11.9935
B 19.997 2.00596 13.9995
B 19.9992 1.99647 16.0041
B 0.00186641 1.99433 17.9973
B 19.9981 3.99784 0.0015966
A 0.00303485 4.00432 1.99757
B 0.00434352 4.00191 4.00461
B 1.01481e-07 4.00029 5.99433
B 19.9984 4.00108 8.00621
B 19.9981 3.99541 9.99433
B 19.9976 4.00353 12.003
B 19.9992 3.9973 14.0054
A 19.9939 3.99568 16.0043
B 19.9949 4.00592 18.0011
A 0.00317533 5.99703 0.00101502
B 0.00353355 5.99948 2.00461
B 0.00405047 6.00511 4.00432
B 0.00107999 5.99782 6.00027
B 19.9954 6.00538 7.99838
B 19.9946 6.00081 10.0011
B 19.9965 5.99647 11.997
B 19.997 6.00351 14.0008
B 0.000516615 6.00461 16.0046
A 19.9938 5.99811 18.0055
B 0.00539996 7.99406 19.9981
B 19.9965 7.99485 1.99782
A 19.9962 8.00493 4.0033
A 19.9941 7.99352 6.00621
A 0.00350991 8.00648 8.00291
B 0.00321675 7.99863 9.9973
A 0.00506586 8.00331 12.0003
B 0.00164352 7.99433 13.9976
B 0.00404994 7.99919 16.003
B 19.9943 8 17.9949
A 19.9987 10.0067 19.9962
A 0.00398561 9.9946 2.00324
A 0.000809882 9.99372 3.99345
B 0.00594002 9.99973 5.99381
B 0.00618675 9.99624 7.99404
A 19.9951 9.99487 10.003
A 19.997 9.99757 12.0005
B 19.9989 10 14.0065
B 19.9995 10.003 15.994
A 19.9992 9.9952 17.9966
B 19.9971 11.9962 0.00299351
B 19.9984 12.0025 1.99946
B 19.9946 12.0062 3.99998
A 0.00216025 12.0006 5.9973
B 19.9975 11.9965 8.00461
B 0.000539996 12.003 9.99809
A 0.00674983 11.9995 12.0057
B 19.9984 11.9978 14.0014
B 19.9986 11.9986 15.9994
A 0.00216013 12.0068 18.0062
A 0.00614574 14.0062 0.0034454
B 0.00594 14 2.00677
B 0.00539996 13.9975 4.00376
A 19.9993 14.0056 6.00486
B 0.00402662 13.9973 8.00488
B 19.9987 13.9981 10.0038
A 19.9992 13.9949 11.9963
A 0.00452532 14.0038 13.9967
B 0.00245354 13.9995 16.0008
A 19.9964 14.0013 18.0033
B 0.00594049 16.0059 19.9957
A 19.9945 16.0009 2.00114
A 19.9973 15.9995 3.99886
B 0.00510669 16.0006 6.00353
B 19.9932 15.9968 7.99379
B 0.00377992 15.9987 9.9989
A 19.9972 15.9948 11.9992
B 0.00108024 16.0019 13.9979
B 19.9965 16.0054 16.0019
A 0.00317537 16.0056 18.0049
A 0.00182504 18.0011 0.00519458
A 0.000540217 18.0029 2.00264
B 0.00461364 17.9995 4.00407
B 0.000786676 17.9986 6.00054
B 0.000833417 17.9943 7.99352
B 19.9951 17.9975 10.0062
B 0.00137354 17.9968 12.0062
A 0.000874415 17.9949 13.997
B 0.00674989 18.003 16.0065
B 19.9935 18 17.9962
B 2.00218 0.000786699 0.00620999
A 2.00486 19.9962 2.0006
A 2.00027 19.9978 4.00324
A 2.00507 19.9994 5.99541
A 1.99703 19.9936 7.99967
B 1.99354 19.9992 10.0016
A 1.99892 0.00114434 11.9944
A 1.99622 19.9989 14.0067
B 2.00619 19.9989 16.0027
A 1.99601 19.9949 18.0035
A 1.99514 1.99601 19.9995
A 1.99514 1.99541 2.00156
B 2.0054 1.99489 4.0011
B 2.00621 1.99786 6.00349
A 2.00405 2.00594 8.0025
A 1.99892 2.00573 9.99595
A 1.99433 2.00264 12.0013
B 1.99676 1.99352 14.0008
A 1.99925 2.00492 15.9939
A 2.00439 1.99622 17.9989
A 1.99871 3.99994 19.9995
A 1.99973 3.99535 2.00669
B 2 3.9973 3.99651
B 1.99973 4.00403 6.00349
A 1.99568 3.99487 7.99736
A 1.99412 4.00243 9.99481
B 1.99811 4.00353 12.0059
A 2.00304 3.99736 14.0017
A 2.0027 3.99865 15.9935
A 1.99649 3.99757 18.0022
B 2.00189 6.0027 0.00434343
B 1.99811 6.00623 2.00459
B 1.99514 6.00511 3.99944
A 1.99838 6.00007 6.00412
A 1.99493 6.00459 7.99865
A 2.0006 6.00351 9.9967
B 1.99838 6.00405 12.0049
A 2.00574 5.99643 14.003
A 1.9952 6.00297 16.0016
A 2.00237 6.00675 17.9943
A 1.99466 7.99379 0.00479541
B 1.99514 7.99433 2.00027
A 1.99589 7.99493 4.0006
A 1.99832 7.99406 6.00324
A 2.00507 7.99676 7.99622
A 1.99925 8.00075 10.0016
B 2.00434 8.0054 12
B 1.99757 7.99568 14.0005
A 2.00114 8.0048 16.0038
A 1.99466 7.99669 18.0046
B 2.00459 10.0065 0.000540243
B 1.99732 10.0065 1.99566
A 2.00621 10.0037 4.00195
A 1.99784 10.0038 6.0054
A 1.99682 9.99352 7.99858
B 2.00137 10.0003 9.99516
B 2.00029 9.99973 12.0038
A 2.00276 9.99412 13.9992
B 1.99838 10.0008 15.9938
B 1.99894 10.0014 17.997
B 1.99431 12.0022 0.00107997
A 2.00492 12.0049 1.99676
B 1.99541 12.0008 4
A 1.99967 12.0046 6.00438
A 1.99412 12.0035 8.00318
B 1.9989 12.0043 10.0035
B 1.99406 12.0032 11.9959
A 1.99655 12.0043 14.0051
B 1.99649 11.9965 16.0024
A 2.00534 12.0032 18.0057
B 1.99624 13.9965 19.9932
A 1.99757 14.0016 1.99979
A 2.0054 13.9993 3.99946
A 2.00102 13.9981 5.9946
A 1.99703 13.9997 7.994
B 2.00135 14.0046 10.0016
B 1.99784 14.0003 11.9976
B 2.00054 13.9938 13.9951
B 1.99701 13.9968 15.9984
B 1.9984 13.9981 18.0022
B 1.99674 15.9951 19.9992
B 2.00056 16.0008 2.00646
A 1.99703 16.0021 4.00304
A 1.99601 16.0008 5.99615
B 2.00214 15.9992 8.0054
A 2.00141 16.0054 10.0022
B 2.0038 15.9943 11.9946
B 1.99595 16.0029 13.9973
B 1.99647 16.0051 16.0057
B 2.00675 15.9989 17.9981
B 2.00407 17.9965 0.000786738
A 1.99345 17.9987 2.00135
B 1.99647 18.0057 4
A 2.00465 18.0057 5.99487
B 1.9989 17.9957 7.99678
B 1.99701 18.0046 10.0027
B 1.99593 18.0027 11.9994
A 2.00351 18.0006 14.0044
A 2.00486 17.9978 16.0032
B 2.00268 18.0048 17.9965
B 4.0054 19.9989 0.00596348
B 3.99732 0.0013499 2.00349
A 3.99967 0.00567145 3.99514
B 3.99892 19.9959 5.99462
B 3.99597 19.9971 8.00135
B 3.99539 19.9987 9.9962
A 3.9994 19.9946 12.006
A 3.99946 19.9945 14.0043
A 4.00027 0.00330447 16.0046
A 4.00378 19.9941 17.9943
A 3.99913 2.00033 0.00074544
B 3.99678 2.00511 1.99946
A 4.00574 1.99372 4.00033
A 3.99844 1.99838 5.99426
B 4.00434 1.99703 8.00218
B 3.99921 1.99674 9.99836
A 4.00027 1.99454 12.0022
B 3.99757 1.99649 14.0038
A 4.00135 2.00243 16.0003
